Resource_ID,Domain_ID,Domain,Resource_Name,Resource_Description,Resource_type,Resource_Redirect_URL,Category,Resource_icon
k8edatpd,ls9w3gzv,Decluttering Routines,Notion (WebApp),"Take Notes, Manage your project totally, Share with other members of company or organizations coordinate deadlines, objectives, and assignments for greater efficiency and productivity.",Website,https://www.notion.so/product,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/Notion-logo.png?w=150&h=150
rm7dgo5i,5d7dbcec,Productivity,Ankur Warikoo,10 Productivity tips and tricks,Video,https://youtu.be/U0gvKt7TKic,,https://cdn-icons-png.flaticon.com/512/1384/1384060.png
zegirbhs,109a774b,Inspirational,Karma Inspired,Buddhist Inspirational Story https://cdn-icons-png.flaticon.com/512/1384/1384060.png Your Life,Video,https://youtu.be/fv9hSzhlnZU,,https://cdn-icons-png.flaticon.com/512/1384/1384060.png
7bomxfp2,a6d0f589,Sleep Management,Katie McLaughlin," Calming progressive muscle relaxation meditation which help in ease anxiety, lower stress and help you fall asleep faster",Video,https://youtu.be/IZub-H2G4d4,,https://cdn-icons-png.flaticon.com/512/1384/1384060.png
hd8s3k7b,g98a94gj,Relationships,Ankur Warikoo,Mistakes made in a relationship,Video,https://youtu.be/hPk2F0cDmUI,,https://cdn-icons-png.flaticon.com/512/1384/1384060.png
b33qjzy5,40ff6da3,Relaxation,Katie McLaughlin,Guided meditation will help you to relax your mind and body ,Video,https://youtu.be/dn5DfAmLWvw,,https://cdn-icons-png.flaticon.com/512/1384/1384060.png
s5qd2lon,c5c88434,Motivational,Quote of the day,Quotes about life,Image,https://www.instagram.com/quoteoftheday/,Instagram Page,https://instagram.fbom3-2.fna.fbcdn.net/v/t51.2885-19/29088606_1892675734356638_7379389551292186624_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=6f2Q5SqcBaUAX_ycGQ6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlA7B0K3WYg6cVqLI1B8ClT7JVp9NY1wijDw5EPWTS4w&oe=6364B818&_nc_sid=86f79a
1hzr1apk,5f6a443b,Learning,Good reads,World's largest site for readers and book recommendations.,Image,https://www.instagram.com/goodreads/,Instagram Page,https://instagram.fbom3-2.fna.fbcdn.net/v/t51.2885-19/51421078_1881249058671585_7209738905740902400_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=XwtdC79Yg5AAX8rcw_A&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBslIH5xbmP39oCjhh13tJ2yZec9ju4AFPyhRi-PGxQgA&oe=6363F009&_nc_sid=8fd12b
yqwsbvj6,55458dd7,Need Break,Incredible India,Know about India,Image,https://www.instagram.com/incredibleindia/,Instagram Page,https://instagram.fbom3-2.fna.fbcdn.net/v/t51.2885-19/185405587_3991646247596659_4063152687019031460_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=mODUC1Ho49YAX9AWUlZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCemazAYmIIwTQossObOa99xQfq3EvG0l1fsAxwrGzEZQ&oe=6364592D&_nc_sid=86f79a
hdxccqy7,c04e3201,Self Growth,Get better with books,All about books,Image,https://www.instagram.com/getbetterwithbooks/,Instagram Page,https://instagram.fbom3-1.fna.fbcdn.net/v/t51.2885-19/145062226_120760373202104_2674837707568207030_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=sxbO6UpqJF0AX-IpwAd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCKEAjROh393W-GcWuXY4ve6dsvCFoMmXR-6gqFC2FgBQ&oe=636414AA&_nc_sid=8fd12b
ygtbd5vg,5d7dbcec,Productivity,Marketing Shivanshu,Reels on Business & Marketing,Video,https://www.instagram.com/marketingshivanshu/,Instagram Page,https://instagram.fbom3-2.fna.fbcdn.net/v/t51.2885-15/274879836_349525420412295_7559738641237731176_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=J3z2SM3w1OYAX-orHC6&edm=AGW0Xe4BAAAA&ccb=7-5&oh=00_AfCES3jz8WYOZMgQ57-89eKS0SOvNPv_4EJxyIXS8ZJuUw&oe=6364FBD3&_nc_sid=acd11b
